"_id","tableNo","totalAmount","status","paymentStatus","createdAt"
"697f50369096f84d7d1ec63c","Table -02",33,"preparing","pending","2026-02-01T13:08:06.636Z"
"697f4fee9096f84d7d1ec03b","Table -02",88,"confirm","pending","2026-02-01T13:06:54.494Z"
"697ee4339f80c33cfd84a42f","Table -02",385,"confirm","pending","2026-02-01T05:27:15.956Z"
"697ee3bc9f80c33cfd849d4a","Table -02",121,"confirm","pending","2026-02-01T05:25:16.371Z"
"697ee2f59f80c33cfd84981b","Table -02",108.9,"pending","pending","2026-02-01T05:21:57.026Z"
"697ee1919f80c33cfd848b35","Table -02",66,"pending","pending","2026-02-01T05:16:01.215Z"
"697ba9b13afad10c000e513e","Table Table-01",66,"confirm","pending","2026-01-29T18:40:49.735Z"
"697ba7d83afad10c000e3d60","Table Table-01",869,"delivered","pending","2026-01-29T18:32:56.193Z"
"697ba7203afad10c000e339e","Table Table-01",671,"confirm","pending","2026-01-29T18:29:52.630Z"
"697b7abe3afad10c000de594","Takeaway",209,"completed","pending","2026-01-29T15:20:30.526Z"
"697b75313afad10c000dbe04","Room Room-05",594,"delivered","pending","2026-01-29T14:56:49.559Z"
"697b3ecc3afad10c000d6a5a","Room Room-04",1394.8,"completed","pending","2026-01-29T11:04:44.947Z"
"697b3e223afad10c000d62fb","VIP Room 2",966.9,"pending","pending","2026-01-29T11:01:54.101Z"
"697b15f1f8b34bc968c6fb78","Table 2",788.7,"completed","pending","2026-01-29T08:10:25.935Z"
"697b15a3f8b34bc968c6f284","Takeaway",1718,"completed","pending","2026-01-29T08:09:07.072Z"
"697b1515f8b34bc968c6f0db","Takeaway",1575,"completed","pending","2026-01-29T08:06:45.226Z"
"697a275136c5ec7e0da80648","T-002",651,"completed","pending","2026-01-28T15:12:17.332Z"
"6978d70cf130e482e45d6af4","Table 2",396,"preparing","pending","2026-01-27T15:17:32.713Z"
"6978d4c7f130e482e45d5b3c","Table 2",132,"delivered","paid","2026-01-27T15:07:51.533Z"
"6978d470f130e482e45d574f","Table 2",594,"delivered","pending","2026-01-27T15:06:24.950Z"
"6978d279f130e482e45d47df","Table 2",396,"preparing","pending","2026-01-27T14:58:01.789Z"
"6978d214f130e482e45d4121","Table 2",594,"preparing","paid","2026-01-27T14:56:20.937Z"
"6978d1adf130e482e45d37c1","Table 2",396,"preparing","paid","2026-01-27T14:54:37.055Z"
"6978cbb0f130e482e45d1bb6","Table 2",396,"preparing","paid","2026-01-27T14:29:04.669Z"
"6978bccf7bc7d41b62ea4bfe","VIP Room 2",330,"preparing","pending","2026-01-27T13:25:35.410Z"
"6978af149be5d0d7db24b460","VIP Room 2",396,"delivered","paid","2026-01-27T12:27:00.888Z"
"6978aa2b9be5d0d7db24aff5","VIP Room 2",528,"preparing","paid","2026-01-27T12:06:03.516Z"
"6978a46a9be5d0d7db24a652","T-002",210,"completed","pending","2026-01-27T11:41:30.082Z"
"6977d31e73661ad70b27e752","Takeaway",840,"delivered","pending","2026-01-26T20:48:30.118Z"
"6977cb9f73661ad70b27d771","Takeaway",147,"preparing","pending","2026-01-26T20:16:32.001Z"
"6977c7cb73661ad70b27cd9b","T-01",44,"confirm","pending","2026-01-26T20:00:11.292Z"
"6977bc7cd9d5f224b3bd1aac","Room-02",792,"confirm","pending","2026-01-26T19:11:56.859Z"
"6977b245d9d5f224b3bd0093","Room-02",264,"delivered","pending","2026-01-26T18:28:21.066Z"
"6977b10dd9d5f224b3bcfb30","Room-02",1430,"delivered","pending","2026-01-26T18:23:09.551Z"
"6977acf7d9d5f224b3bcec35","Room-02",264,"delivered","pending","2026-01-26T18:05:43.167Z"
"697791b242dc529f476ff6db","room-01",396,"delivered","paid","2026-01-26T16:09:22.163Z"
"69778966f823eb7d0375f364","T-003",396,"preparing","pending","2026-01-26T15:33:58.262Z"
"697785b9f823eb7d0375eb27","T-01",660,"preparing","paid","2026-01-26T15:18:17.410Z"
"6977531eb86798872267d975","tabel-10",252,"preparing","pending","2026-01-26T11:42:22.993Z"
"69774470c94316b780ec569c","table-11",336,"preparing","pending","2026-01-26T10:39:44.875Z"
"6977442cc94316b780ec5511","T-01",132,"preparing","paid","2026-01-26T10:38:36.158Z"
"6977401687e8f038f8de3544","T-01",726,"delivered","paid","2026-01-26T10:21:10.678Z"
"69773fea87e8f038f8de3523","T-01",768.9,"delivered","pending","2026-01-26T10:20:26.440Z"
"69773e60d4f5c24a1e92f91c","T-01",462,"preparing","paid","2026-01-26T10:13:52.630Z"
"697730c0fcdc817904818b8a","table-11",126,"preparing","pending","2026-01-26T09:15:44.044Z"
"69772b39fcdc817904818a31","T-01",132,"preparing","paid","2026-01-26T08:52:09.433Z"
"69772b0ffcdc817904818a18","T-01",132,"preparing","paid","2026-01-26T08:51:27.298Z"
"69772ae0fcdc817904818a00","T-01",132,"delivered","paid","2026-01-26T08:50:40.505Z"
"69772a36fcdc8179048189cd","T-01",132,"preparing","paid","2026-01-26T08:47:50.183Z"
"69772944fcdc817904818997","Table-10",336,"confirm","pending","2026-01-26T08:43:48.344Z"
"69772579fcdc81790481875d","T-01",506,"preparing","paid","2026-01-26T08:27:37.992Z"
"69772540fcdc817904818700","T-01",1166,"preparing","pending","2026-01-26T08:26:40.913Z"
"697712e5713b5cb5ee26238e","T-01",491.7,"delivered","pending","2026-01-26T07:08:21.510Z"
